"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"90","Female",0,1,4,1,5,"Female","Ninguno","Ninguno","0","Ninguno",29,16,21,9,12,3,3,49,48,4
"91","Female",1,1,1,3,4,"Female","Centro-Izquierda","Izquierda","1","1",22,19,21,14,22,12,15,48,84,2
"92","Female",1,1,1,3,3,"Female","Ninguno","Ninguno","0","Ninguno",21,20,19,13,20,9,9,49,70,4
"93","Male",0,1,3,4,5,"Male","Ninguno","Ninguno","0","Ninguno",7,7,21,14,12,7,13,17,67,3
"94","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",15,7,15,11,14,5,9,26,54,4
"95","Male",1,1,2,4,4,"Male","Ninguno","Ninguno","0","Ninguno",15,12,21,13,27,5,6,30,72,6
"96","Female",0,1,3,5,4,"Female","Centro","Centro","1","0",24,17,20,6,13,3,11,47,53,4
"97","Male",1,0,4,4,5,"Male","E. Derecha","Derecha","1","1",14,20,21,14,12,7,12,35,66,2
"98","Male",0,1,4,3,4,"Male","Centro-Izquierda","Izquierda","1","1",15,19,21,14,27,10,17,40,89,4
"99","Female",1,0,3,4,4,"Female","E. Derecha","Derecha","1","1",25,18,19,12,23,10,11,44,75,3
"100","Female",1,1,2,3,4,"Female","E. Izquierda","Izquierda","1","1",19,20,17,12,20,8,8,42,65,4
"101","Male",0,1,4,4,4,"Male","Ninguno","Ninguno","0","Ninguno",8,13,21,14,26,10,11,24,82,5
"102","Female",1,1,3,4,5,"Female","Centro-Izquierda","Izquierda","1","0",23,14,21,11,9,2,3,39,46,6
"103","Female",0,0,3,4,4,"Female","Ninguno","Ninguno","0","Ninguno",13,3,11,6,10,4,6,19,37,2
"104","Other",0,1,1,2,3,"Other","E. Izquierda","Izquierda","1","1",30,19,21,14,24,6,20,54,85,5
"105","Female",0,0,3,3,4,"Female","Centro","Centro","1","0",20,19,21,14,22,10,14,46,81,3
"106","Male",0,0,3,3,3,"Male","Ninguno","Ninguno","0","Ninguno",9,5,19,14,18,6,8,15,65,2
"107","Female",1,0,1,2,3,"Female","Ninguno","Ninguno","0","Ninguno",6,5,13,7,9,4,4,14,37,1
"108","Female",1,1,1,2,3,"Female","Ninguno","Ninguno","0","Ninguno",22,23,21,14,24,10,3,49,72,7
"109","Female",0,1,2,3,4,"Female","E. Derecha","Derecha","1","1",24,24,21,14,28,14,21,56,98,4
